angry0,angry1,angry2,box0,box1,box2,disgust0,disgust1,disgust2,fear0,fear1,fear2,happy0,happy1,happy2,neutral0,neutral1,neutral2,sad0,sad1,sad2,surprise0,surprise1,surprise2
0.3,,,"[897, 146, 157, 207]",,,0.0,,,0.12,,,0.0,,,0.25,,,0.29,,,0.04,,
0.15,,,"[889, 146, 164, 216]",,,0.0,,,0.11,,,0.0,,,0.32,,,0.4,,,0.01,,
0.13,,,"[889, 147, 163, 216]",,,0.0,,,0.12,,,0.0,,,0.32,,,0.4,,,0.02,,
0.17,,,"[887, 137, 168, 228]",,,0.0,,,0.05,,,0.0,,,0.32,,,0.45,,,0.01,,
0.15,,,"[888, 146, 165, 218]",,,0.0,,,0.1,,,0.0,,,0.3,,,0.43,,,0.01,,
0.17,,,"[887, 137, 168, 227]",,,0.0,,,0.05,,,0.0,,,0.35,,,0.42,,,0.01,,
0.17,,,"[887, 137, 168, 228]",,,0.0,,,0.04,,,0.0,,,0.29,,,0.49,,,0.01,,
0.14,,,"[886, 146, 165, 218]",,,0.0,,,0.11,,,0.0,,,0.33,,,0.4,,,0.02,,
0.2,,,"[888, 138, 168, 227]",,,0.0,,,0.05,,,0.0,,,0.31,,,0.42,,,0.01,,
0.13,,,"[888, 147, 165, 217]",,,0.0,,,0.12,,,0.0,,,0.29,,,0.44,,,0.01,,
0.14,,,"[888, 146, 165, 218]",,,0.0,,,0.09,,,0.0,,,0.36,,,0.39,,,0.01,,
0.15,,,"[888, 146, 166, 218]",,,0.0,,,0.08,,,0.0,,,0.43,,,0.33,,,0.01,,
0.13,,,"[888, 147, 165, 218]",,,0.0,,,0.14,,,0.0,,,0.35,,,0.36,,,0.01,,
0.26,,,"[896, 148, 159, 206]",,,0.0,,,0.17,,,0.0,,,0.31,,,0.24,,,0.01,,
0.19,,,"[898, 150, 157, 202]",,,0.0,,,0.16,,,0.0,,,0.4,,,0.24,,,0.01,,
0.11,,,"[888, 147, 165, 217]",,,0.0,,,0.11,,,0.0,,,0.38,,,0.39,,,0.02,,
0.27,,,"[896, 146, 159, 209]",,,0.0,,,0.16,,,0.0,,,0.3,,,0.21,,,0.06,,
0.3,,,"[896, 146, 160, 209]",,,0.0,,,0.13,,,0.0,,,0.28,,,0.23,,,0.05,,
0.23,,,"[896, 147, 159, 207]",,,0.0,,,0.15,,,0.0,,,0.32,,,0.28,,,0.02,,
0.14,,,"[889, 148, 165, 217]",,,0.0,,,0.11,,,0.0,,,0.36,,,0.37,,,0.02,,
0.15,,,"[889, 147, 166, 218]",,,0.0,,,0.1,,,0.0,,,0.37,,,0.37,,,0.01,,
0.16,,,"[890, 148, 164, 217]",,,0.0,,,0.09,,,0.0,,,0.33,,,0.42,,,0.01,,
0.28,,,"[898, 150, 157, 203]",,,0.01,,,0.15,,,0.0,,,0.29,,,0.26,,,0.01,,
0.3,,,"[896, 147, 160, 208]",,,0.0,,,0.15,,,0.0,,,0.28,,,0.24,,,0.02,,
0.1,,,"[889, 147, 165, 217]",,,0.0,,,0.07,,,0.0,,,0.4,,,0.41,,,0.01,,
0.19,,,"[897, 152, 157, 201]",,,0.01,,,0.17,,,0.0,,,0.35,,,0.27,,,0.01,,
0.24,,,"[898, 151, 156, 201]",,,0.0,,,0.15,,,0.0,,,0.36,,,0.24,,,0.01,,
0.28,,,"[898, 150, 157, 203]",,,0.01,,,0.16,,,0.0,,,0.29,,,0.25,,,0.02,,
0.3,,,"[897, 151, 157, 202]",,,0.01,,,0.16,,,0.0,,,0.29,,,0.22,,,0.02,,
0.2,,,"[889, 145, 166, 218]",,,0.0,,,0.1,,,0.0,,,0.32,,,0.36,,,0.01,,
0.15,,,"[888, 146, 166, 218]",,,0.0,,,0.09,,,0.0,,,0.44,,,0.3,,,0.02,,
0.16,,,"[889, 147, 166, 218]",,,0.0,,,0.14,,,0.0,,,0.3,,,0.38,,,0.01,,
0.16,,,"[890, 147, 164, 216]",,,0.0,,,0.1,,,0.0,,,0.4,,,0.34,,,0.01,,
0.18,,,"[889, 148, 163, 215]",,,0.0,,,0.16,,,0.0,,,0.27,,,0.37,,,0.02,,
0.25,,,"[888, 147, 164, 216]",,,0.0,,,0.14,,,0.0,,,0.23,,,0.36,,,0.02,,
0.22,,,"[889, 147, 164, 217]",,,0.0,,,0.1,,,0.0,,,0.31,,,0.36,,,0.02,,
